FISBN,Title,Author,Co-authors,Year,Fiction Flag,Genre,Subgenre,Paperback Flag,Price
978-555-0-32177-021-4,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-022-1,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-023-8,Star Trek: Mission Detour,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-024-5,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-025-2,TestNG: The Missing Javadoc,Alonso del Arte,_COAUTHORS_,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-026-9,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-027-6,Quick Notes: The Hound of the Baskervilles,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-028-3,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-029-0,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-030-6,At the Post Office,Adaego Okafor,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-031-3,Do Or Die in Overtime,Alice Pieszecki,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-032-0,Slopes of California,James Woolbinder,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-033-7,The Weird Portrait,Julietta Kolmogorovna,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-034-4,Early Birds Club,Thomas Thomason,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-035-1,Glide Path,Richard Richardson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-036-8,Status Symbols,Harry Harrison,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-037-5,"Star Trek: Time and Again, Again",Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-038-2,Journey to Ohio,Sally Sallinen,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-039-9,Yoga for New Mothers,"Dr. Samah El-Fatihi, M.D.",_COAUTHORS_,2019,Nonfiction,Health,Fitness,Paperback,$18.99
978-555-0-32177-040-5,And Then What?,Jason Wood,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-041-2,Grilling with Dad,Bobby Hill,_COAUTHORS_,2019,Nonfiction,Cookbook,Barbecue,Paperback,$18.99
978-555-0-32177-042-9,Master of the Waves,Mohammad bin Kadar,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-043-6,Travel Diary: Costa Rica,Wolfdieter Braunschweig,_COAUTHORS_,2019,Nonfiction,Travel,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-044-3,A Match Made in Space,George McFly,_COAUTHORS_,2019,Fiction,Science fiction,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-045-0,Aboard the HMS Belfast,Aria Jones,_COAUTHORS_,2019,Fiction,Historical,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-046-7,Cruising Along,Michelle Watson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-047-4,Claim Denied,Susan Puffinsberger,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-048-1,Moby Dick,Herman Melville,_COAUTHORS_,2019,Fiction,Adventure,Nautical,Paperback,$18.99
978-555-0-32177-049-8,Quick Notes: Moby Dick,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-050-4,Carrying the Flame,Zainab Mohammed,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-051-1,Greased Tomatoes,Gustavo Vargas y Kohler,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-052-8,Tangling with Bandits,Joan Hoff,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-053-5,Not Enough Rice,Steve Kneipp,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-054-2,Star Trek: What Tarquin Didn't Say,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-055-9,Lightbulbs and Candles,Mark Petrel,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-056-6,The Harpooned Heart,Marge Simpson,_COAUTHORS_,2019,Fiction,Romance,Historical,Paperback,$18.99
978-555-0-32177-057-3,On the Rough Streets of Royal Oak,Quincy Washington,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-058-0,In the Can,James Albertson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-059-7,Airbrush,Timothy McGee,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-060-3,"The Adventures of Jack, Boy Detective",Alice Tanner,_COAUTHORS_,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-061-0,Quick Notes: The Great Gatsby,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-062-7,A Cow Looks Over the Gate,Aaron Aaronson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-063-4,"I Assure You Nothing Happens in This Book",Bernie Backhaus,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-064-1,The Stranger,Carla Cormorant,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-065-8,Travelers On the Same Road,David Diamond,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-066-5,The Magical Return of Joe,Luisa Juanita Gomez,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-067-2,Assets and Liabilities,Francisca Fioretti,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-068-9,All Downhill from There,Gabriela Goodwin,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-069-6,The Visitor,Hannah Housemont,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-070-2,The Memo,Imogen Imhoffe,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-071-9,One Short of a Barbershop Quartet,Jack Jackson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-072-6,Star Trek: Tal Shiar: Game of Spies,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-073-3,You and What Army?,Kevin Kilmer,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-074-0,Star Wars: Attack of the Binary Load Lifters,Luther Landingham,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-075-7,The Nominee,Martin Martinson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-076-4,We'll Meet in Twenty Years,Ned North,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-077-1,Death on the Trail,Emily Everpuff,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-078-8,The Impostor,Peter Parker,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-079-5,Sherlock Holmes and the Case of the Forged Edict,Quincy Quonsett,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-080-1,Counterfeiters,Robert Robertson,_COAUTHORS_,2019,Fiction,Thriller,Heist,Paperback,$18.99
978-555-0-32177-081-8,Remember...,Susan Seabridges,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-082-5,The Wages of Sin,Taylor Tuck,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-083-2,The World of the Before Times,Umberto Underhill,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-084-9,Kitty on the Prowl,Valerie Vandeen,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-085-6,Plantain Harvest,Walter Winchell,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-086-3,Bureau of Minor Adjustments,Xavier Xanthos,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-087-0,Star Trek: Tal Shiar: Back in the Fold,William Gold,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-088-7,Sonatina in C major,Olivia Oliver,_COAUTHORS_,2019,Fiction,Romance,Historical,Paperback,$18.99
978-555-0-32177-089-4,"Good Cop, Bad Cop",Zainab Zamorra,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-090-0,Grand Duel of the Idiots,Antonio Puentes,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-091-7,Primo Weed,Barbara Quincy,_COAUTHORS_,2019,Nonfiction,Gardening,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-092-4,The Dollar Commander,Charlesetta Romaine,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-093-1,Star Trek: Tal Shiar: Their Tender Mercies,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-094-8,The Prophecy of the Bottle Cap,David Sanders,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-095-5,Anchors Aweigh,Emilio Gonzales,_COAUTHORS_,2019,Fiction,Thriller,Nautical,Paperback,$18.99
978-555-0-32177-096-2,A Wolf in Sheep's Clothing,Franca Llanez,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-097-9,Tales of Trees,Ginger Jones,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-098-6,Star Wars: Heresy,Hallie Meyers,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-099-3,Accountable Sooner or Later,Yesenia Young,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-100-6,The Dog and the Wolf,Jessica Ha,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-101-3,In the Gazebo,Kimberly Chen,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-102-0,Sentimental Waltzes,Laurie Ikamura,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-103-7,Star Trek: Obsidian Order: Their Tender Mercies,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-104-4,The Cover Up Is Worse Than the Crime,Mattie Hayward,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-105-1,Swords and Plowshares,Nina Hao,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-106-8,The Fable of the Aardvark,Olivia Kalmus,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-107-5,Sharpening the Halberd,Petra Taranu,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-108-2,Death on the Bus to Sterling Heights,Quentin Thomas,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-109-9,The Ghosts of the Shed,Roberta Quigley,_COAUTHORS_,2019,Fiction,Horror,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-110-5,Cops on the Take,Ionia Bloodworth,_COAUTHORS_,2019,Fiction,Mystery,Police Procedural,Paperback,$18.99
978-555-0-32177-111-2,Murder Under the Radar,Sharona Fleming,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-112-9,Star Trek: Palace Intrigue on the Klingon Homeworld,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-113-6,Star Wars: Hoth Revisited,Tamara Thunberg,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-114-3,An Accountant's Adventure Undercover,Ulysses M. Grant,_COAUTHORS_,2019,Fiction,Thriller,Heist,Paperback,$18.99
978-555-0-32177-115-0,Cerberus as a Puppy,Mahmoud bin Kabul,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-116-7,Calendars of My Ancestors,Valeria Lopez,_COAUTHORS_,2019,Nonfiction,History,Chronology,Paperback,$18.99
978-555-0-32177-117-4,Quick Notes: Maya Angelou,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-118-1,Headphones for the Dead Man,Wanda Wrzszczek,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-119-8,Spoonful of Rice,Xena Jones,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-120-4,The Witches of Ferndale,Yesenia Peña,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-121-1,An Epic Journey to the Corner Store,Zoe Maldonado,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-122-8,The Mercenary's Information Kit,Nona Shapovalova,_COAUTHORS_,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-123-5,A Shepherd in the City,Julietta Kolmogorovna,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-124-2,The Best Thing Since Sliced Bread,Gustavo Vargas y Kohler,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-125-9,"Graft and Corruption in Florida",Brenda Starr,_COAUTHORS_,2019,Nonfiction,Politics,Investigative Reporting,Paperback,$18.99
978-555-0-32177-126-6,Splitting Aces,Carla Moulton,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-127-3,The Little Big Hotel,Dominique Halpern,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-128-0,Star Trek: Forgotten Homeworlds,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-129-7,A Gun on the Nightstand,Everett Colthorp,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-130-3,Unexpected Helpers,Fanny Michaelson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-131-0,The Falcon,Glurga Zpanak,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-132-7,Living and Dying by the Actuarial Tables,Hanson Handel,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-133-4,On the Way to Clontarf,Ian McGillicuddygillyblarp,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-134-1,Restricted to Quarters,Jefferson Lofton,_COAUTHORS_,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-135-8,Scala Collections In Depth,Alonso del Arte,_COAUTHORS_,2019,Nonfiction,Computer Programming,Scala,Paperback,$38.99
978-555-0-32177-136-5,The Enemies List,Amelia Teegerb,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-137-2,A Little Snack on a Big Plate,Lewis Monkson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-138-9,Between Volleys,Martina Dobranovača,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-139-6,Under Quarantine,Norma Blackfeather,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-140-2,Digging Up the Backyard for Diamonds,Otoña Guzman,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-141-9,Secrets of Truly Transformational Philanthropy,Paula Petroni,_COAUTHORS_,2019,Nonfiction,Politics,Public Policy,Paperback,$18.99
978-555-0-32177-142-6,Lyrics on a Bar Napkin,Queen Lewiston,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-143-3,Quick Notes: To Kill a Mockingbird,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-144-0,Voyage to Delaware,Raymonda Tovey-Johnson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-145-7,An Arm and a Leg,Solida Williams,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-146-4,The Patent Lawyer and the Tiger,Teresa Władyczrzszek,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-147-1,Last Train to Muskegon,Kevin Riverton,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-148-8,Ice Cream and Tomatoes,Vernee Jefferson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-149-5,The Astronaut Diver,Walter Miller,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-150-1,Guns of Hartford,Xander Boustrophedon,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-151-8,Pulling Up the Ladder,Yara Stiller,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-152-5,Waiting in the Wings,Zachariah ben Haim,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-153-2,Testing Java Swing with JUnit,Alonso del Arte,_COAUTHORS_,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-154-9,Withholding Evidence,Allison Guzman,_COAUTHORS_,2019,Fiction,Mystery,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-155-6,Legion of the Sword,Bao Yu,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-156-3,Star Trek: Obsidian Order: Revisionist History,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-157-0,One More Guest at the Table,Clotilda Florida,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-158-7,Not Much to Go On,Damar Watson,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-159-4,Just a Glitch,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-160-0,Leaving Too Much on the Table,Eugenio Sombras,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-161-7,Tanks Rolling Down Main Street,Frank Port,_COAUTHORS_,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-162-4,On the Scales of Justice,Gloorga Vrpz,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-163-1,The Shield of Marnax,Henderson Jones,_COAUTHORS_,2019,Fiction,Fantasy,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-164-8,Travel Diary: Nigeria,Wolfdieter Braunschweig,_COAUTHORS_,2019,Nonfiction,Travel,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-165-5,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-166-2,_TITLE_,Iona Da,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-167-9,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-168-6,A Tree of Ice,Justina Madison,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-169-3,Quick Notes: Scandal in Bohemia,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-170-9,Murder on the Bunny Slopes,Lando Calrissian Watson,_COAUTHORS_,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-171-6,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-172-3,Luck Be a Lady Tomorrow Night,Malena Paretti,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-173-0,The Judge's Husband,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-174-7,The Mini Golf Hustler,Nona McLeod,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-175-4,Let Sleeping Kitties Lie,Olla Hammoud,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-176-1,Assembly Line of Doom,Paula Straiton,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-177-8,Taking the Solo,Quentis Vargas,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-178-5,Ice Princess,Paula Straiton,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-179-2,Murder Factory,Raul Fernandez,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
